ticker,name,industry,sector,group,seen,ev_m,ev_rev,ev_ebitda,op_margin,ind_median,delta_pp,read,med_basis,pctile,inst_pct,inst_trend,float_pct,float_m,dollar_float_m,thin,analysts,hook,revenueGrowth,fullTimeEmployees,totalCash,totalDebt,sf_own_dependence,sf_under_prof,sf_no_mna,sf_under_invest,sf_succession,sf_composite,sf_depth,sf_why,macro,structure,macro_note,macro_depth
CCEL,"Cryo-Cell International, Inc.",Medical Care Facilities,Healthcare,D,False,37.0,1.18,31.5,10.0,-3.0,13.0,Above,ind,89.0,12.0,sparse,51.9,4.2,14.6,THIN,0,"cord-blood bank, recurring storage annuity",-0.036,72.0,2900058.0,10713821.0,Med,Med,Med,Med,Low,4,full,"NOT founder-run: David Portnoy is an investor who won control via proxy fight; founder long gone; acquired CORD:USE (M&A lever pulled). Activist-control, not operate-target.",Neutral,Fragmented,Cord-blood storage annuity; recurring-revenue stickiness but flat new-enrollment births declining; fragmented small-bank tail = roll-up; activist-controlled.,judgment
NSYS,Nortech Systems Incorporated,Medical Devices,Healthcare,D,True,62.0,0.51,16.0,0.2,-47.2,47.3,Above,ind,89.0,3.5,sparse,35.3,1.0,15.0,THIN,0,"EMS contract mfr, near-zero margin",0.127,685.0,1964000.0,17992000.0,High,Med,Med,Low,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,EMS contract mfr (med/defense); reshoring + defense/medical device demand but razor-thin margins; fragmented small-EMS tail = consolidation runway.,judgment
KPLT,"Katapult Holdings, Inc.",Software - Infrastructure,Technology,B,True,107.1,0.36,0.5,5.5,-29.3,34.8,Above,ind,86.0,39.4,sparse,90.5,4.3,26.6,THIN,2,"lease-to-own fintech, debt stub",0.098,87.0,22348000.0,72045000.0,Low,High,Med,Med,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,Lease-to-own fintech; subprime consumer credit stress + regulatory scrutiny on LTO; debt stub; fragmented but distressed; not an operate/build-up fit.,judgment
MPX,Marine Products Corporation,Recreational Vehicles,Consumer Cyclical,C,False,234.2,0.93,13.5,3.4,-0.9,4.3,Above,sec(3),70.0,17.1,sparse,27.3,9.3,76.4,THIN,0,"boat-maker (RPM-controlled), no debt",0.128,698.0,45799000.0,0.0,Med,Low,High,Med,Low,4,full,"Rollins-family CONTROLLED (~67pct) but via RPC holdco with professional mgmt (Palmer CEO since 2001); part of a controlled corporate group, not a standalone aging-founder operate target.",Headwind,Barbell,"Boat manufacturer (Chaparral/Robalo); recreational-boat demand cyclically weak post-COVID, rate-sensitive big-ticket; net cash; consolidated boatbuilders + small tail.",judgment
NDLS,Noodles & Company,Restaurants,Consumer Cyclical,B,False,319.9,0.65,11.6,1.6,1.6,0.0,In-line,ind,46.0,51.2,↓ 8B/4S net -$3.9M,54.5,3.2,38.0,,0,lease-levered restaurant turnaround,-0.0,6500.0,1444000.0,253675008.0,Med,Low,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,Soft traffic (60% operators reported declines) + rising food/labor/insurance; fast-casual price-value squeezed; lease-levered turnaround; huge fragmented unit tail.,researched
LFVN,Lifevantage Corporation,Packaged Foods,Consumer Defensive,F,False,94.5,0.48,9.4,4.1,3.7,0.3,In-line,ind,54.0,67.3,↑ 48B/21S net +$21M,70.8,8.9,70.8,,2,"nutrition MLM, debt-free, declining",-0.252,232.0,12483000.0,10206000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,"Nutrition MLM; direct-selling sector contracting (~1-3%/yr), recruiting decline; declining rev; durable supplement demand but channel broken; fragmented small sellers.",researched
NCSM,"NCS Multistage Holdings, Inc.",Oil & Gas Equipment & Services,Energy,E,False,109.9,0.61,8.2,1.9,-3.4,5.3,Above,ind,62.0,74.2,↓ 19B/8S but net flow fading,31.8,0.8,35.9,THIN,0,"frac completion tools, net cash",-0.087,272.0,34458000.0,12119000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,"Frac-completion tools; US drilling flat/disciplined but tier-3/4 acreage more service-intensive = tighter service market, pricing power; oligopoly top + small tail.",researched
BWEN,"Broadwind, Inc.",Specialty Industrial Machinery,Industrials,D,False,113.0,0.73,16.8,1.1,3.2,-2.1,Below,ind,33.0,31.6,↑ 25B/5S net +$4M,86.7,20.3,71.1,,3,"wind-tower maker, IRA tailwind",-0.075,341.0,943000.0,27948000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Wind-tower fabricator; IRA-credit tailwind now uncertain under rollback + steel-input cost; lumpy orders; few US tower shops, fragmented fab tail.",judgment
ULBI,Ultralife Corporation,Electrical Equipment & Parts,Industrials,C,False,171.2,0.91,15.5,1.3,-35.3,36.6,Above,ind,70.0,73.8,↑ 30B/16S net +$6M,57.7,9.6,70.9,,0,"battery maker, defense+medical segments",-0.065,678.0,8890000.0,50733000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Barbell,"Batteries for defense + medical; defense budget surge + grid/storage demand boom (storage 41% of US battery demand); oligopoly cell top, fragmented pack/integrator tail.",researched
EGAN,eGain Corporation,Software - Application,Technology,F,False,122.5,1.33,11.7,8.9,-11.2,20.1,Above,ind,84.0,55.2,→ 43B/28S net -$1.1M,54.8,15.0,113.0,,3,"AI knowledge-mgmt SaaS, net cash",0.071,444.0,80462000.0,3135000.0,Med,Med,Med,Med,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Knowledge-mgmt/AI SaaS; AI-assist demand tailwind but commoditization risk as AI makes tooling table-stakes; net cash; fragmented point-solution tail.,judgment
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,Basic Materials,D,False,474.7,0.52,10.7,1.1,-0.7,1.8,In-line,ind,50.0,50.2,↑ 39B/17S net +$23M,89.5,69.4,376.3,,2,ethanol refiner pivot to specialty alcohol,-0.008,390.0,20309000.0,91271000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Barbell,Ethanol refiner pivoting to specialty alcohol; crush-spread compression on oversupply; SAF/specialty optionality but commodity-exposed; consolidated majors + small tail.,researched
ZDGE,"Zedge, Inc.",Internet Content & Information,Communication Services,F,True,20.6,0.66,7.2,10.0,-4.2,14.2,Above,ind,81.0,17.4,sparse,83.1,10.4,32.2,,1,"mobile-content app, net cash, buybacks",0.183,85.0,19106000.0,407000.0,Low,High,Med,Low,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Consolidated,"Mobile-content/wallpaper app; ad-supported, platform-dependent (Google/Apple) demand; net cash + buybacks; few comparable apps, not a roll-up.",judgment
GTIM,Good Times Restaurants Inc.,Restaurants,Consumer Cyclical,B,True,50.2,0.37,9.8,1.5,1.6,-0.1,In-line,ind,38.0,10.7,sparse,79.8,8.4,11.0,THIN,0,"two-brand burger chain, lease-levered",-0.031,2078.0,2749000.0,38371000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Burger fast-casual; cost stack heavy but casual seen as value vs QSR; small two-brand operator; very fragmented regional-chain tail = build-up runway.,researched
JRSH,"Jerash Holdings (US), Inc.",Apparel Manufacturing,Consumer Cyclical,F,True,41.4,0.27,5.6,4.7,-0.9,5.6,Above,sec(5),78.0,9.0,sparse,49.8,6.3,21.6,THIN,2,"Jordan garment mfr, net cash, dividend",0.18,6000.0,11454016.0,9704712.0,High,Low,Med,Low,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,Jordan garment contract-mfr; US apparel-import tariff regime + brand-customer concentration; cheap-labor sourcing arbitrage thinning; long tail of small CMs.,researched
CMT,Core Molding Technologies Inc,Specialty Chemicals,Basic Materials,E,False,221.2,0.82,8.5,3.0,-0.7,3.7,Above,ind,83.0,80.5,↑ 33B/32S net +$14M,83.2,7.1,173.4,,1,"composite molder, customer-concentrated",-0.047,1239.0,23551000.0,34992000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Composite/fiberglass molder; truck/industrial end-market cyclical + customer concentration; resin/input cost; fragmented custom-molder tail = roll-up runway.,judgment
MRDN,Meridian Holdings Inc.,Electronic Gaming & Multimedia,Communication Services,F,False,144.1,0.76,11.1,6.3,-8.1,14.4,Above,sec(5),86.0,4.1,sparse,17.0,2.2,26.0,THIN,3,"gaming microcap, near net-cash",0.173,1200.0,16580882.0,18892040.0,High,Low,Med,Low,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Gaming microcap; small-studio economics, hit-driven; near net-cash; fragmented small-studio tail but low-quality consolidation.",judgment
BSET,"Bassett Furniture Industries, I","Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,162.3,0.49,10.4,1.4,-1.7,3.1,Above,ind,64.0,59.6,↑ 30B/17S net +$1.6M,88.3,7.6,112.9,,1,"furniture maker-retailer, net cash",-0.022,1194.0,50952000.0,85036000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,Furniture maker-retailer; soft demand on frozen housing turnover (low mobility) + foam/transport cost; remodel partial offset; very fragmented dealer tail.,researched
ESCA,"Escalade, Incorporated",Leisure,Consumer Cyclical,C,False,268.7,1.12,10.3,10.5,-3.0,13.5,Above,ind,83.0,31.2,→ 19B/18S net -$0.5M,72.8,10.0,190.6,,1,"sporting-goods+safety, flat inst",0.006,437.0,13051000.0,18071000.0,Low,Med,Med,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Sporting goods + safety; mixed discretionary demand, safety segment steadier + import-tariff cost; fragmented sporting-brand tail = bolt-on runway.",judgment
FOSL,"Fossil Group, Inc.",Footwear & Accessories,Consumer Cyclical,D,False,481.1,0.48,11.8,6.3,-0.9,7.2,Above,sec(5),84.0,61.0,↑ 49B/16S net +$20M,80.8,47.7,212.7,,2,"watch turnaround, cost cuts, debt paydown",-0.036,4500.0,81400000.0,299700000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Barbell,Watches in secular smartwatch/casualization decline; heavy import-tariff exposure (FDRA tariffs $3B->$6.2B); turnaround is cost-cut not demand; few small targets.,researched
MPAA,"Motorcar Parts of America, Inc.",Auto Parts,Consumer Cyclical,D,False,429.5,0.56,7.5,4.6,-3.9,8.6,Above,ind,88.0,91.3,↑ 76B/34S net +$24M,82.1,15.8,175.2,,3,"rebuilt auto-parts, core-accounting noise",-0.099,5700.0,19571000.0,232759008.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,Rebuilt aftermarket parts; aging vehicle parc (12+ yr avg) + tariff-insulated remanufacturing demand; OEM build softening doesn't hurt aftermarket; fragmented rebuilders.,researched
SGC,"Superior Group of Companies, In",Apparel Manufacturing,Consumer Cyclical,F,False,283.2,0.5,10.4,1.4,-0.9,2.3,Above,sec(5),59.0,43.0,↑ 32B/28S net +$0.8M,64.5,10.1,130.4,,3,"uniforms+promo+call-center, 3 segs",0.028,6520.0,23172000.0,99227000.0,Med,Low,Med,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,"Uniforms/workwear demand growing ~6% (safety regs, corporate branding) + promo merch ~11%; offsets call-center seg; very fragmented decorator/distributor tail = roll-up.",researched
NUS,"Nu Skin Enterprises, Inc.",Household & Personal Products,Consumer Defensive,F,False,394.1,0.27,3.0,1.8,-2.8,4.6,Above,ind,71.0,76.7,↑ 96B/64S net +$40M,97.5,47.4,277.5,,0,"beauty/wellness MLM, levered, declining",-0.12,2800.0,200404992.0,303248992.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Barbell,"Beauty/wellness MLM; rev -16% FY25, direct-selling decline + China exposure; levered; demand exists but channel structurally impaired; few clean targets.",researched
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,Industrials,D,False,376.1,0.86,12.2,3.6,-3.8,7.4,Above,sec(3),76.0,56.9,→ 25B/10S net -$0.8M,69.2,14.1,156.5,,0,"forged-steel rolls, pension overhang",0.039,1432.0,9226000.0,138735008.0,Med,Low,Med,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Consolidated,"Forged-steel rolls; benefits from tariff-protected domestic steel demand but pension overhang + niche capital-goods cyclicality; few global players, consolidated.",researched
EVI,"EVI Industries, Inc.",Industrial Distribution,Industrials,A,False,296.2,0.68,13.2,2.2,-3.8,6.0,Above,sec(1),73.0,39.3,↑ 30B/12S net +$41M,40.5,5.2,91.6,,1,"laundry-distribution roll-up, 90+ deals",0.081,850.0,4316000.0,73005000.0,High,Low,Low,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,Commercial-laundry equipment distribution; steady replacement + healthcare/hospitality demand; proven 90+ deal roll-up in a highly fragmented dealer market.,judgment
RCMT,"RCM Technologies, Inc.",Conglomerates,Industrials,A,False,185.1,0.58,7.0,7.2,-3.7,10.8,Above,ind,88.0,44.9,↑ 42B/24S net +$9M,57.6,4.1,90.3,,2,specialty-staffing 3-segment compounder,-0.017,4930.0,2621000.0,34538000.0,Med,Low,Low,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Specialty staffing (engineering/IT/health); mixed labor demand, AI pressure on commodity staffing; niche segments sticky; fragmented staffing tail = build-up.",judgment
STRT,STRATTEC SECURITY CORPORATION,Auto Parts,Consumer Cyclical,E,False,251.7,0.43,5.3,3.4,-3.9,7.4,Above,ind,75.0,88.4,↑ 84B/43S net +$41M,96.1,4.0,321.6,,2,"auto locks/keys, net cash, post-spin",-0.045,2848.0,106957000.0,1000000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,"Auto locks/keys; tied to N.A. OEM build (down 4.5-7% in 2026) + tariff/Mexico exposure; post-spin net cash; consolidated tier-1 top, fragmented small suppliers.",researched
CVGW,"Calavo Growers, Inc.",Food Distribution,Consumer Defensive,F,False,442.8,0.72,16.8,3.7,-1.2,5.0,Above,sec(4),74.0,89.6,↑ 105B/55S net +$102M,84.8,15.2,395.5,,1,"avocado distributor, turnaround under ex-CEO",-0.208,1969.0,47670000.0,22396000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,"Avocado distributor; durable/growing avocado consumption but commodity price + Mexico-tariff/sourcing risk; consolidated importers top, fragmented grower tail.",judgment
AVD,American Vanguard Corporation,Agricultural Inputs,Basic Materials,B,False,290.0,0.56,9.6,4.3,1.1,3.2,Above,sec(2),73.0,67.8,↑ 41B/40S net +$9.5M,93.4,26.7,70.4,,0,"ag-chem, debt-heavy post-restatement",0.067,739.0,70914000.0,283142016.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Barbell,"Ag-chem (crop protection); net farm income down (-2.6% real 2026) + pesticide spend declining; debt-heavy post-restatement; consolidated majors top, small-niche tail.",researched
FRD,Friedman Industries Inc.,Steel,Basic Materials,E,False,262.6,0.45,11.3,2.3,1.1,1.2,In-line,sec(2),53.0,54.1,↑ 26B/15S net +$1.3M,93.7,6.7,162.2,,0,"steel processor, hedge-driven earnings",0.786,271.0,3005000.0,97130000.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,Steel processor; Section 232 50% tariffs keep domestic prices high + mills disciplined; hedge-driven earnings volatile; fragmented service-center tail = roll-up.,researched
CATO,Cato Corporation (The),Apparel Retail,Consumer Cyclical,F,True,128.6,0.2,110.9,5.0,-1.0,6.0,Above,ind,82.0,33.6,sparse,80.0,14.3,45.3,,0,"off-mall apparel, lease-heavy, shrinking",0.005,6700.0,80970000.0,145027008.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,Off-mall value apparel shrinking store base; low-income shopper stretched + tariff cost; mall/strip retail structurally declining; no real build-up runway.,judgment
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,Consumer Cyclical,D,False,291.8,0.45,15.7,1.0,-3.9,4.9,Above,ind,62.0,47.0,↑ 24B/17S net +$1.9M,70.1,23.6,122.1,,3,"truck-cab supplier, cyclical trough",0.01,6100.0,28684000.0,143676992.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Barbell,"Truck-cab/structures supplier; Class-8 build at cyclical trough + tariff input cost; thin margins; consolidated OEM customers, fragmented small-supplier tail.",researched
RCKY,"Rocky Brands, Inc.",Footwear & Accessories,Consumer Cyclical,F,False,420.1,0.85,10.0,2.9,-0.9,3.8,Above,sec(5),68.0,79.3,↑ 54B/36S net +$24M,93.6,7.1,271.6,,1,"work/western boots, brand portfolio",0.091,2200.0,1667000.0,130474000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,Work/western boots more durable than dress (less casualization risk) but full import-tariff hit; demand flat-to-soft; small acquired-brand tail = some roll-up runway.,researched
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,Energy,E,False,136.7,1.42,11.1,22.2,-3.4,25.6,Above,ind,88.0,86.1,↓ 12B/5S net -$1.0M,20.2,6.3,23.7,THIN,0,"seismic-data services, deep cyclical",1.283,269.0,1744000.0,21980000.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Consolidated,"Seismic-data services; deep-cyclical, first cut in downturns; disciplined capex means little new exploration spend; few buyers, consolidated survivors.",researched
