ticker,name,industry,sector,group,seen,ev_m,ev_rev,ev_ebitda,op_margin,ind_median,delta_pp,read,med_basis,pctile,inst_pct,inst_trend,float_pct,float_m,dollar_float_m,thin,analysts,hook,revenueGrowth,fullTimeEmployees,totalCash,totalDebt,sf_own_dependence,sf_under_prof,sf_no_mna,sf_under_invest,sf_succession,sf_composite,sf_depth,sf_why
CCEL,"Cryo-Cell International, Inc.",Medical Care Facilities,Healthcare,D,False,37.0,1.18,31.5,10.0,-3.0,13.0,Above,ind,89.0,12.0,sparse,51.9,4.2,14.6,THIN,0,"cord-blood bank, recurring storage annuity",-0.036,72.0,2900058.0,10713821.0,Med,Med,Med,Med,Low,4,full,"NOT founder-run: David Portnoy is an investor who won control via proxy fight; founder long gone; acquired CORD:USE (M&A lever pulled). Activist-control, not operate-target."
NSYS,Nortech Systems Incorporated,Medical Devices,Healthcare,D,True,62.0,0.51,16.0,0.2,-47.2,47.3,Above,ind,89.0,3.5,sparse,35.3,1.0,15.0,THIN,0,"EMS contract mfr, near-zero margin",0.127,685.0,1964000.0,17992000.0,High,Med,Med,Low,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
KPLT,"Katapult Holdings, Inc.",Software - Infrastructure,Technology,B,True,107.1,0.36,0.5,5.5,-29.3,34.8,Above,ind,86.0,39.4,sparse,90.5,4.3,26.6,THIN,2,"lease-to-own fintech, debt stub",0.098,87.0,22348000.0,72045000.0,Low,High,Med,Med,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
MPX,Marine Products Corporation,Recreational Vehicles,Consumer Cyclical,C,False,234.2,0.93,13.5,3.4,-0.9,4.3,Above,sec(3),70.0,17.1,sparse,27.3,9.3,76.4,THIN,0,"boat-maker (RPM-controlled), no debt",0.128,698.0,45799000.0,0.0,Med,Low,High,Med,Low,4,full,"Rollins-family CONTROLLED (~67pct) but via RPC holdco with professional mgmt (Palmer CEO since 2001); part of a controlled corporate group, not a standalone aging-founder operate target."
NDLS,Noodles & Company,Restaurants,Consumer Cyclical,B,False,319.9,0.65,11.6,1.6,1.6,0.0,In-line,ind,46.0,51.2,↓ 8B/4S net -$3.9M,54.5,3.2,38.0,,0,lease-levered restaurant turnaround,-0.0,6500.0,1444000.0,253675008.0,Med,Low,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
LFVN,Lifevantage Corporation,Packaged Foods,Consumer Defensive,F,False,94.5,0.48,9.4,4.1,3.7,0.3,In-line,ind,54.0,67.3,↑ 48B/21S net +$21M,70.8,8.9,70.8,,2,"nutrition MLM, debt-free, declining",-0.252,232.0,12483000.0,10206000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
NCSM,"NCS Multistage Holdings, Inc.",Oil & Gas Equipment & Services,Energy,E,False,109.9,0.61,8.2,1.9,-3.4,5.3,Above,ind,62.0,74.2,↓ 19B/8S but net flow fading,31.8,0.8,35.9,THIN,0,"frac completion tools, net cash",-0.087,272.0,34458000.0,12119000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
BWEN,"Broadwind, Inc.",Specialty Industrial Machinery,Industrials,D,False,113.0,0.73,16.8,1.1,3.2,-2.1,Below,ind,33.0,31.6,↑ 25B/5S net +$4M,86.7,20.3,71.1,,3,"wind-tower maker, IRA tailwind",-0.075,341.0,943000.0,27948000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
ULBI,Ultralife Corporation,Electrical Equipment & Parts,Industrials,C,False,171.2,0.91,15.5,1.3,-35.3,36.6,Above,ind,70.0,73.8,↑ 30B/16S net +$6M,57.7,9.6,70.9,,0,"battery maker, defense+medical segments",-0.065,678.0,8890000.0,50733000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
EGAN,eGain Corporation,Software - Application,Technology,F,False,122.5,1.33,11.7,8.9,-11.2,20.1,Above,ind,84.0,55.2,→ 43B/28S net -$1.1M,54.8,15.0,113.0,,3,"AI knowledge-mgmt SaaS, net cash",0.071,444.0,80462000.0,3135000.0,Med,Med,Med,Med,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,Basic Materials,D,False,474.7,0.52,10.7,1.1,-0.7,1.8,In-line,ind,50.0,50.2,↑ 39B/17S net +$23M,89.5,69.4,376.3,,2,ethanol refiner pivot to specialty alcohol,-0.008,390.0,20309000.0,91271000.0,Low,Med,Med,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified
ZDGE,"Zedge, Inc.",Internet Content & Information,Communication Services,F,True,20.6,0.66,7.2,10.0,-4.2,14.2,Above,ind,81.0,17.4,sparse,83.1,10.4,32.2,,1,"mobile-content app, net cash, buybacks",0.183,85.0,19106000.0,407000.0,Low,High,Med,Low,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
GTIM,Good Times Restaurants Inc.,Restaurants,Consumer Cyclical,B,True,50.2,0.37,9.8,1.5,1.6,-0.1,In-line,ind,38.0,10.7,sparse,79.8,8.4,11.0,THIN,0,"two-brand burger chain, lease-levered",-0.031,2078.0,2749000.0,38371000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
JRSH,"Jerash Holdings (US), Inc.",Apparel Manufacturing,Consumer Cyclical,F,True,41.4,0.27,5.6,4.7,-0.9,5.6,Above,sec(5),78.0,9.0,sparse,49.8,6.3,21.6,THIN,2,"Jordan garment mfr, net cash, dividend",0.18,6000.0,11454016.0,9704712.0,High,Low,Med,Low,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
CMT,Core Molding Technologies Inc,Specialty Chemicals,Basic Materials,E,False,221.2,0.82,8.5,3.0,-0.7,3.7,Above,ind,83.0,80.5,↑ 33B/32S net +$14M,83.2,7.1,173.4,,1,"composite molder, customer-concentrated",-0.047,1239.0,23551000.0,34992000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
MRDN,Meridian Holdings Inc.,Electronic Gaming & Multimedia,Communication Services,F,False,144.1,0.76,11.1,6.3,-8.1,14.4,Above,sec(5),86.0,4.1,sparse,17.0,2.2,26.0,THIN,3,"gaming microcap, near net-cash",0.173,1200.0,16580882.0,18892040.0,High,Low,Med,Low,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
BSET,"Bassett Furniture Industries, I","Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,162.3,0.49,10.4,1.4,-1.7,3.1,Above,ind,64.0,59.6,↑ 30B/17S net +$1.6M,88.3,7.6,112.9,,1,"furniture maker-retailer, net cash",-0.022,1194.0,50952000.0,85036000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
ESCA,"Escalade, Incorporated",Leisure,Consumer Cyclical,C,False,268.7,1.12,10.3,10.5,-3.0,13.5,Above,ind,83.0,31.2,→ 19B/18S net -$0.5M,72.8,10.0,190.6,,1,"sporting-goods+safety, flat inst",0.006,437.0,13051000.0,18071000.0,Low,Med,Med,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
FOSL,"Fossil Group, Inc.",Footwear & Accessories,Consumer Cyclical,D,False,481.1,0.48,11.8,6.3,-0.9,7.2,Above,sec(5),84.0,61.0,↑ 49B/16S net +$20M,80.8,47.7,212.7,,2,"watch turnaround, cost cuts, debt paydown",-0.036,4500.0,81400000.0,299700000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
MPAA,"Motorcar Parts of America, Inc.",Auto Parts,Consumer Cyclical,D,False,429.5,0.56,7.5,4.6,-3.9,8.6,Above,ind,88.0,91.3,↑ 76B/34S net +$24M,82.1,15.8,175.2,,3,"rebuilt auto-parts, core-accounting noise",-0.099,5700.0,19571000.0,232759008.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
SGC,"Superior Group of Companies, In",Apparel Manufacturing,Consumer Cyclical,F,False,283.2,0.5,10.4,1.4,-0.9,2.3,Above,sec(5),59.0,43.0,↑ 32B/28S net +$0.8M,64.5,10.1,130.4,,3,"uniforms+promo+call-center, 3 segs",0.028,6520.0,23172000.0,99227000.0,Med,Low,Med,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
NUS,"Nu Skin Enterprises, Inc.",Household & Personal Products,Consumer Defensive,F,False,394.1,0.27,3.0,1.8,-2.8,4.6,Above,ind,71.0,76.7,↑ 96B/64S net +$40M,97.5,47.4,277.5,,0,"beauty/wellness MLM, levered, declining",-0.12,2800.0,200404992.0,303248992.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,Industrials,D,False,376.1,0.86,12.2,3.6,-3.8,7.4,Above,sec(3),76.0,56.9,→ 25B/10S net -$0.8M,69.2,14.1,156.5,,0,"forged-steel rolls, pension overhang",0.039,1432.0,9226000.0,138735008.0,Med,Low,Med,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
EVI,"EVI Industries, Inc.",Industrial Distribution,Industrials,A,False,296.2,0.68,13.2,2.2,-3.8,6.0,Above,sec(1),73.0,39.3,↑ 30B/12S net +$41M,40.5,5.2,91.6,,1,"laundry-distribution roll-up, 90+ deals",0.081,850.0,4316000.0,73005000.0,High,Low,Low,Med,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
RCMT,"RCM Technologies, Inc.",Conglomerates,Industrials,A,False,185.1,0.58,7.0,7.2,-3.7,10.8,Above,ind,88.0,44.9,↑ 42B/24S net +$9M,57.6,4.1,90.3,,2,specialty-staffing 3-segment compounder,-0.017,4930.0,2621000.0,34538000.0,Med,Low,Low,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
STRT,STRATTEC SECURITY CORPORATION,Auto Parts,Consumer Cyclical,E,False,251.7,0.43,5.3,3.4,-3.9,7.4,Above,ind,75.0,88.4,↑ 84B/43S net +$41M,96.1,4.0,321.6,,2,"auto locks/keys, net cash, post-spin",-0.045,2848.0,106957000.0,1000000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
CVGW,"Calavo Growers, Inc.",Food Distribution,Consumer Defensive,F,False,442.8,0.72,16.8,3.7,-1.2,5.0,Above,sec(4),74.0,89.6,↑ 105B/55S net +$102M,84.8,15.2,395.5,,1,"avocado distributor, turnaround under ex-CEO",-0.208,1969.0,47670000.0,22396000.0,Low,Low,Med,High,unverified,3,proxy,proxy-only: float/growth/group screen; founder & age unverified
AVD,American Vanguard Corporation,Agricultural Inputs,Basic Materials,B,False,290.0,0.56,9.6,4.3,1.1,3.2,Above,sec(2),73.0,67.8,↑ 41B/40S net +$9.5M,93.4,26.7,70.4,,0,"ag-chem, debt-heavy post-restatement",0.067,739.0,70914000.0,283142016.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
FRD,Friedman Industries Inc.,Steel,Basic Materials,E,False,262.6,0.45,11.3,2.3,1.1,1.2,In-line,sec(2),53.0,54.1,↑ 26B/15S net +$1.3M,93.7,6.7,162.2,,0,"steel processor, hedge-driven earnings",0.786,271.0,3005000.0,97130000.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
CATO,Cato Corporation (The),Apparel Retail,Consumer Cyclical,F,True,128.6,0.2,110.9,5.0,-1.0,6.0,Above,ind,82.0,33.6,sparse,80.0,14.3,45.3,,0,"off-mall apparel, lease-heavy, shrinking",0.005,6700.0,80970000.0,145027008.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,Consumer Cyclical,D,False,291.8,0.45,15.7,1.0,-3.9,4.9,Above,ind,62.0,47.0,↑ 24B/17S net +$1.9M,70.1,23.6,122.1,,3,"truck-cab supplier, cyclical trough",0.01,6100.0,28684000.0,143676992.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
RCKY,"Rocky Brands, Inc.",Footwear & Accessories,Consumer Cyclical,F,False,420.1,0.85,10.0,2.9,-0.9,3.8,Above,sec(5),68.0,79.3,↑ 54B/36S net +$24M,93.6,7.1,271.6,,1,"work/western boots, brand portfolio",0.091,2200.0,1667000.0,130474000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,Energy,E,False,136.7,1.42,11.1,22.2,-3.4,25.6,Above,ind,88.0,86.1,↓ 12B/5S net -$1.0M,20.2,6.3,23.7,THIN,0,"seismic-data services, deep cyclical",1.283,269.0,1744000.0,21980000.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
BYRN,"Byrna Technologies, Inc.",Aerospace & Defense,Industrials,F,False,141.6,1.17,10.6,3.2,9.0,-5.8,Below,ind,33.0,58.3,↑ 81B/28S net +$69M,76.4,17.3,109.6,,3,"less-lethal weapons, net cash, growth",0.109,159.0,9207000.0,2170000.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
CVU,"CPI Aerostructures, Inc.",Aerospace & Defense,Industrials,E,False,94.1,1.32,29.4,10.5,9.0,1.6,In-line,ind,58.0,22.9,sparse,81.7,10.8,55.9,,0,"defense structures, backlog-driven",0.127,192.0,1002548.0,28499770.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
FLXS,"Flexsteel Industries, Inc.","Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,317.3,0.69,7.9,7.1,-1.7,8.9,Above,ind,86.0,70.4,↑ 52B/25S net +$57M,115.3,4.7,280.2,,2,"furniture maker, recovering, low debt",0.01,1400.0,57283000.0,53903000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
HVT,"Haverty Furniture Companies, In",Home Improvement Retail,Consumer Cyclical,F,False,495.2,0.65,10.6,2.6,-0.9,3.5,Above,sec(2),66.0,83.0,↑ 54B/35S net +$22M,91.4,13.6,317.2,,2,"furniture retailer, owns real estate",0.041,2392.0,107456000.0,219238000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
ZUMZ,Zumiez Inc.,Apparel Retail,Consumer Cyclical,F,False,468.4,0.5,10.8,9.0,-1.0,10.0,Above,ind,91.0,80.1,↑ 77B/41S net +$21M,76.1,13.1,325.0,,1,"action-sports retailer, recovery",0.044,2400.0,160624000.0,199328992.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
NATR,"Nature's Sunshine Products, Inc",Packaged Foods,Consumer Defensive,F,False,318.9,0.65,7.7,7.8,3.7,4.0,Above,ind,69.0,88.1,↓ 85B/34S net -$7M,71.6,12.6,271.5,,2,"herbal-supplement direct-seller, net cash",0.085,806.0,87578000.0,22430000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified
HBB,Hamilton Beach Brands Holding C,"Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,316.3,0.53,6.8,4.1,-1.7,5.8,Above,ind,79.0,42.4,↓ 28B/23S net -$1.1M,65.6,6.5,134.0,,0,"small-appliance brand, asset-light",-0.086,640.0,48390000.0,90671000.0,Med,Low,Low,Low,Low,1,full,"Rankin/NACCO dual-class family holdco but professionally managed (Trepp CEO since 2010, not founder); spin-off holdco structure, not a single founder-operated business."
KEQU,Kewaunee Scientific Corporation,"Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,170.3,0.59,6.5,3.7,-1.7,5.5,Above,ind,71.0,41.2,↑ 19B/10S net +$7.2M,75.4,2.2,87.9,,0,"lab furniture, backlog, India ops",0.033,1239.0,8153000.0,59342000.0,Low,Low,Low,Med,Low,1,full,"Professional management (no controlling family found, 1906 vintage); just did $55M Nu Aire acquisition -> M&A lever pulled."
HFFG,HF Foods Group Inc.,Food Distribution,Consumer Defensive,A,True,320.2,0.26,9.2,0.3,-1.2,1.6,In-line,sec(4),60.0,21.1,sparse,74.1,39.6,79.1,,0,"Asian-food distribution roll-up, post-fraud cleanup",0.045,949.0,11061000.0,221748992.0,Low,Low,Low,Med,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
VFF,"Village Farms International, In",Farm Products,Consumer Defensive,E,False,294.7,1.3,6.0,10.0,-48.2,58.2,Above,ind,83.0,22.4,↑ 50B/21S net +$16M,89.3,102.0,260.2,,3,greenhouse produce+cannabis optionality,0.266,1128.0,50468000.0,40477000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
EML,Eastern Company (The),Tools & Accessories,Industrials,C,False,176.4,0.72,9.7,2.1,-3.8,5.9,Above,sec(1),72.0,78.0,↑ 30B/19S net +$6.5M,78.4,4.7,102.5,,0,"security+engineered-solutions, activist (Barington)",-0.057,1231.0,7616721.0,53457492.0,Low,Low,Low,Med,Low,1,full,"DISQUALIFIED: Barington activist-controlled, de-founded, external professional CEO, serial acquirer of engineered-solutions businesses."
TG,Tredegar Corporation,Metal Fabrication,Industrials,C,False,316.6,0.42,5.4,3.4,-3.8,7.2,Above,sec(3),75.0,71.3,↑ 56B/33S net +$17M,82.6,28.8,226.4,,0,"Aluminum+films two-segment, Kaleo optionality",0.132,1700.0,15611000.0,58888000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
TWIN,"Twin Disc, Incorporated",Specialty Industrial Machinery,Industrials,E,False,300.2,0.83,10.5,5.3,3.2,2.1,Above,ind,50.0,68.4,↑ 46B/22S net +$16M,71.2,10.3,173.9,,0,"marine/industrial gears, cyclical recovery",0.19,980.0,16114000.0,66969000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
III,"Information Services Group, Inc",Information Technology Services,Technology,A,False,261.8,1.06,11.0,8.2,-5.3,13.5,Above,ind,71.0,69.4,↑ 73B/43S net +$14M,73.4,35.1,160.1,,3,"IT-advisory roll-up, recurring research",0.027,1500.0,22689000.0,67782000.0,Low,Low,Low,Med,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
NTWK,NETSOL Technologies Inc.,Software - Application,Technology,F,False,56.9,0.79,8.2,15.2,-11.2,26.4,Above,ind,95.0,20.5,sparse,79.1,9.4,42.4,,0,"leasing software for autos/finance, global",0.13,,14744392.0,9334564.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
RNGR,"Ranger Energy Services, Inc.",Oil & Gas Equipment & Services,Energy,E,False,416.5,0.73,6.1,2.8,-3.4,6.2,Above,ind,75.0,79.6,↑ 78B/39S net +$48M,78.6,18.7,285.3,,3,"well-service rig operator, FCF",0.177,2300.0,6900000.0,63400000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
VMD,"Viemed Healthcare, Inc.",Medical Devices,Healthcare,F,False,388.4,1.35,7.1,6.3,-47.2,53.4,Above,ind,93.0,70.4,→ 72B/49S net +$0.3M,78.9,30.2,300.5,,1,"home-ventilation, organic growth",0.275,1387.0,9762000.0,12437000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
EBF,"Ennis, Inc.",Business Equipment & Supplies,Industrials,C,False,494.2,1.26,7.2,11.2,-3.8,15.0,Above,sec(2),87.0,86.9,↑ 91B/62S net +$19M,90.8,23.0,470.1,,1,"print/forms cash cow, serial small M&A",0.04,1835.0,34570000.0,9215000.0,Low,Low,Low,Low,Med,1,full,DISQUALIFIED on no-M&A: Walters oversaw 33-68 acquisitions; explicit serial acquirer. Professionally run cash cow.
RLGT,"Radiant Logistics, Inc.",Integrated Freight & Logistics,Industrials,A,False,425.5,0.48,14.0,1.3,-3.8,5.1,Above,sec(4),68.0,55.9,↓ 51B/44S net -$6.7M,72.3,33.9,285.5,,2,"freight-forwarding roll-up, asset-light",0.001,988.0,39688000.0,83793000.0,Low,Low,Low,Med,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified
