ticker,name,industry,sector,group,seen,ev_m,ev_rev,ev_ebitda,op_margin,ind_median,delta_pp,read,med_basis,pctile,inst_pct,inst_trend,float_pct,float_m,dollar_float_m,thin,analysts,hook
MRDN,Meridian Holdings Inc.,Electronic Gaming & Multimedia,Communication Services,F,False,144.1,0.76,11.1,6.3,-8.1,14.4,Above,sec(5),86.0,4.1,sparse,17.0,2.2,26.0,THIN,3,"gaming microcap, near net-cash"
BDL,"Flanigan's Enterprises, Inc.",Restaurants,Consumer Cyclical,F,True,102.3,0.48,6.6,7.2,1.6,5.6,Above,ind,69.0,10.4,sparse,35.9,0.7,23.0,THIN,0,Florida bar/restaurant + package liquor
BSET,"Bassett Furniture Industries, I","Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,162.3,0.49,10.4,1.4,-1.7,3.1,Above,ind,64.0,59.6,↑ 30B/17S net +$1.6M,88.3,7.6,112.9,,1,"furniture maker-retailer, net cash"
CATO,Cato Corporation (The),Apparel Retail,Consumer Cyclical,F,True,128.6,0.2,110.9,5.0,-1.0,6.0,Above,ind,82.0,33.6,sparse,80.0,14.3,45.3,,0,"off-mall apparel, lease-heavy, shrinking"
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,Consumer Cyclical,D,False,291.8,0.45,15.7,1.0,-3.9,4.9,Above,ind,62.0,47.0,↑ 24B/17S net +$1.9M,70.1,23.6,122.1,,3,"truck-cab supplier, cyclical trough"
DLTH,Duluth Holdings Inc.,Apparel Retail,Consumer Cyclical,B,True,260.2,0.46,17.1,4.2,-1.0,5.2,Above,ind,73.0,23.5,↓ 10B/12S net -$0.65M,28.6,10.0,34.4,THIN,1,"DTC apparel, lease-levered, falling inst"
ESCA,"Escalade, Incorporated",Leisure,Consumer Cyclical,C,False,268.7,1.12,10.3,10.5,-3.0,13.5,Above,ind,83.0,31.2,→ 19B/18S net -$0.5M,72.8,10.0,190.6,,1,"sporting-goods+safety, flat inst"
FOSL,"Fossil Group, Inc.",Footwear & Accessories,Consumer Cyclical,D,False,481.1,0.48,11.8,6.3,-0.9,7.2,Above,sec(5),84.0,61.0,↑ 49B/16S net +$20M,80.8,47.7,212.7,,2,"watch turnaround, cost cuts, debt paydown"
HBB,Hamilton Beach Brands Holding C,"Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,316.3,0.53,6.8,4.1,-1.7,5.8,Above,ind,79.0,42.4,↓ 28B/23S net -$1.1M,65.6,6.5,134.0,,0,"small-appliance brand, asset-light"
KEQU,Kewaunee Scientific Corporation,"Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,170.3,0.59,6.5,3.7,-1.7,5.5,Above,ind,71.0,41.2,↑ 19B/10S net +$7.2M,75.4,2.2,87.9,,0,"lab furniture, backlog, India ops"
MPAA,"Motorcar Parts of America, Inc.",Auto Parts,Consumer Cyclical,D,False,429.5,0.56,7.5,4.6,-3.9,8.6,Above,ind,88.0,91.3,↑ 76B/34S net +$24M,82.1,15.8,175.2,,3,"rebuilt auto-parts, core-accounting noise"
MPX,Marine Products Corporation,Recreational Vehicles,Consumer Cyclical,C,False,234.2,0.93,13.5,3.4,-0.9,4.3,Above,sec(3),70.0,17.1,sparse,27.3,9.3,76.4,THIN,0,"boat-maker (RPM-controlled), no debt"
NDLS,Noodles & Company,Restaurants,Consumer Cyclical,B,False,319.9,0.65,11.6,1.6,1.6,0.0,In-line,ind,46.0,51.2,↓ 8B/4S net -$3.9M,54.5,3.2,38.0,,0,lease-levered restaurant turnaround
RCKY,"Rocky Brands, Inc.",Footwear & Accessories,Consumer Cyclical,F,False,420.1,0.85,10.0,2.9,-0.9,3.8,Above,sec(5),68.0,79.3,↑ 54B/36S net +$24M,93.6,7.1,271.6,,1,"work/western boots, brand portfolio"
SGC,"Superior Group of Companies, In",Apparel Manufacturing,Consumer Cyclical,F,False,283.2,0.5,10.4,1.4,-0.9,2.3,Above,sec(5),59.0,43.0,↑ 32B/28S net +$0.8M,64.5,10.1,130.4,,3,"uniforms+promo+call-center, 3 segs"
ACU,Acme,Household & Personal Products,Consumer Defensive,C,False,206.8,1.02,9.9,3.3,-2.8,6.1,Above,ind,86.0,74.1,↑ 27B/24S net +$2.7M,78.2,3.0,125.7,,1,"cutting tools+first-aid, family-run"
HFFG,HF Foods Group Inc.,Food Distribution,Consumer Defensive,A,True,320.2,0.26,9.2,0.3,-1.2,1.6,In-line,sec(4),60.0,21.1,sparse,74.1,39.6,79.1,,0,"Asian-food distribution roll-up, post-fraud cleanup"
LFVN,Lifevantage Corporation,Packaged Foods,Consumer Defensive,F,False,94.5,0.48,9.4,4.1,3.7,0.3,In-line,ind,54.0,67.3,↑ 48B/21S net +$21M,70.8,8.9,70.8,,2,"nutrition MLM, debt-free, declining"
NUS,"Nu Skin Enterprises, Inc.",Household & Personal Products,Consumer Defensive,F,False,394.1,0.27,3.0,1.8,-2.8,4.6,Above,ind,71.0,76.7,↑ 96B/64S net +$40M,97.5,47.4,277.5,,0,"beauty/wellness MLM, levered, declining"
VFF,"Village Farms International, In",Farm Products,Consumer Defensive,E,False,294.7,1.3,6.0,10.0,-48.2,58.2,Above,ind,83.0,22.4,↑ 50B/21S net +$16M,89.3,102.0,260.2,,3,greenhouse produce+cannabis optionality
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,Energy,E,False,136.7,1.42,11.1,22.2,-3.4,25.6,Above,ind,88.0,86.1,↓ 12B/5S net -$1.0M,20.2,6.3,23.7,THIN,0,"seismic-data services, deep cyclical"
NCSM,"NCS Multistage Holdings, Inc.",Oil & Gas Equipment & Services,Energy,E,False,109.9,0.61,8.2,1.9,-3.4,5.3,Above,ind,62.0,74.2,↓ 19B/8S but net flow fading,31.8,0.8,35.9,THIN,0,"frac completion tools, net cash"
PNRG,PrimeEnergy Resources Corporati,Oil & Gas E&P,Energy,E,False,267.8,1.49,2.7,13.3,7.6,5.7,Above,ind,53.0,36.7,↑ 50B/29S net +$37M,36.8,0.6,97.1,THIN,1,"tiny levered-up Permian E&P, illiquid"
FONR,Fonar Corporation,Diagnostics & Research,Healthcare,F,False,102.1,0.97,7.4,9.2,-21.4,30.6,Above,ind,89.0,40.3,↑ 18B/8S net +$6M,93.6,5.8,110.0,,0,"MRI maker + scan-center operator, net cash"
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,Industrials,D,False,376.1,0.86,12.2,3.6,-3.8,7.4,Above,sec(3),76.0,56.9,→ 25B/10S net -$0.8M,69.2,14.1,156.5,,0,"forged-steel rolls, pension overhang"
BWEN,"Broadwind, Inc.",Specialty Industrial Machinery,Industrials,D,False,113.0,0.73,16.8,1.1,3.2,-2.1,Below,ind,33.0,31.6,↑ 25B/5S net +$4M,86.7,20.3,71.1,,3,"wind-tower maker, IRA tailwind"
BYRN,"Byrna Technologies, Inc.",Aerospace & Defense,Industrials,F,False,141.6,1.17,10.6,3.2,9.0,-5.8,Below,ind,33.0,58.3,↑ 81B/28S net +$69M,76.4,17.3,109.6,,3,"less-lethal weapons, net cash, growth"
CVU,"CPI Aerostructures, Inc.",Aerospace & Defense,Industrials,E,False,94.1,1.32,29.4,10.5,9.0,1.6,In-line,ind,58.0,22.9,sparse,81.7,10.8,55.9,,0,"defense structures, backlog-driven"
EML,Eastern Company (The),Tools & Accessories,Industrials,C,False,176.4,0.72,9.7,2.1,-3.8,5.9,Above,sec(1),72.0,78.0,↑ 30B/19S net +$6.5M,78.4,4.7,102.5,,0,"security+engineered-solutions, activist (Barington)"
ESOA,Energy Services of America Corp,Engineering & Construction,Industrials,A,False,333.2,0.76,10.7,1.1,-3.8,4.9,Above,sec(5),66.0,55.4,↑ 54B/29S net +$11M,76.8,14.3,214.3,,1,Appalachian utility-services roll-up
EVI,"EVI Industries, Inc.",Industrial Distribution,Industrials,A,False,296.2,0.68,13.2,2.2,-3.8,6.0,Above,sec(1),73.0,39.3,↑ 30B/12S net +$41M,40.5,5.2,91.6,,1,"laundry-distribution roll-up, 90+ deals"
GENC,"Gencor Industries, Inc.",Farm & Heavy Construction Machinery,Industrials,F,True,57.0,0.55,3.7,21.2,-3.8,25.0,Above,sec(5),95.0,62.7,sparse,81.6,10.1,142.2,,1,"asphalt-plant maker, huge net cash hoard"
MHH,"Mastech Digital, Inc",Staffing & Employment Services,Industrials,D,True,42.4,0.23,6.9,0.1,-3.9,4.0,Above,ind,67.0,18.3,sparse,33.9,4.1,26.0,THIN,2,"IT staffing turnaround, net cash, data segment"
PPIH,Perma-Pipe International Holdin,Building Products & Equipment,Industrials,A,False,302.8,1.44,8.8,9.0,-3.8,12.8,Above,sec(3),83.0,52.9,↑ 47B/18S net +$17M,94.1,7.6,237.2,,1,"pre-insulated pipe roll-up, MENA backlog"
RCMT,"RCM Technologies, Inc.",Conglomerates,Industrials,A,False,185.1,0.58,7.0,7.2,-3.7,10.8,Above,ind,88.0,44.9,↑ 42B/24S net +$9M,57.6,4.1,90.3,,2,specialty-staffing 3-segment compounder
TG,Tredegar Corporation,Metal Fabrication,Industrials,C,False,316.6,0.42,5.4,3.4,-3.8,7.2,Above,sec(3),75.0,71.3,↑ 56B/33S net +$17M,82.6,28.8,226.4,,0,"Aluminum+films two-segment, Kaleo optionality"
TWIN,"Twin Disc, Incorporated",Specialty Industrial Machinery,Industrials,E,False,300.2,0.83,10.5,5.3,3.2,2.1,Above,ind,50.0,68.4,↑ 46B/22S net +$16M,71.2,10.3,173.9,,0,"marine/industrial gears, cyclical recovery"
ULBI,Ultralife Corporation,Electrical Equipment & Parts,Industrials,C,False,171.2,0.91,15.5,1.3,-35.3,36.6,Above,ind,70.0,73.8,↑ 30B/16S net +$6M,57.7,9.6,70.9,,0,"battery maker, defense+medical segments"
EGAN,eGain Corporation,Software - Application,Technology,F,False,122.5,1.33,11.7,8.9,-11.2,20.1,Above,ind,84.0,55.2,→ 43B/28S net -$1.1M,54.8,15.0,113.0,,3,"AI knowledge-mgmt SaaS, net cash"
III,"Information Services Group, Inc",Information Technology Services,Technology,A,False,261.8,1.06,11.0,8.2,-5.3,13.5,Above,ind,71.0,69.4,↑ 73B/43S net +$14M,73.4,35.1,160.1,,3,"IT-advisory roll-up, recurring research"
NTWK,NETSOL Technologies Inc.,Software - Application,Technology,F,False,56.9,0.79,8.2,15.2,-11.2,26.4,Above,ind,95.0,20.5,sparse,79.1,9.4,42.4,,0,"leasing software for autos/finance, global"
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,Basic Materials,D,False,474.7,0.52,10.7,1.1,-0.7,1.8,In-line,ind,50.0,50.2,↑ 39B/17S net +$23M,89.5,69.4,376.3,,2,ethanol refiner pivot to specialty alcohol
FLXS,"Flexsteel Industries, Inc.","Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,317.3,0.69,7.9,7.1,-1.7,8.9,Above,ind,86.0,70.4,↑ 52B/25S net +$57M,115.3,4.7,280.2,,2,"furniture maker, recovering, low debt"
HVT,"Haverty Furniture Companies, In",Home Improvement Retail,Consumer Cyclical,F,False,495.2,0.65,10.6,2.6,-0.9,3.5,Above,sec(2),66.0,83.0,↑ 54B/35S net +$22M,91.4,13.6,317.2,,2,"furniture retailer, owns real estate"
JOUT,Johnson Outdoors Inc.,Leisure,Consumer Cyclical,F,False,407.6,0.62,14.9,5.3,-3.0,8.4,Above,ind,67.0,69.8,↓ 65B/37S net -$24M,62.7,5.8,263.0,,1,"Minn Kota/Humminbird outdoors, net cash"
STRT,STRATTEC SECURITY CORPORATION,Auto Parts,Consumer Cyclical,E,False,251.7,0.43,5.3,3.4,-3.9,7.4,Above,ind,75.0,88.4,↑ 84B/43S net +$41M,96.1,4.0,321.6,,2,"auto locks/keys, net cash, post-spin"
WEYS,"Weyco Group, Inc.",Footwear & Accessories,Consumer Cyclical,F,False,256.2,0.93,7.8,11.1,-0.9,12.0,Above,sec(5),91.0,25.6,↑ 26B/12S net +$4.4M,59.2,5.6,200.0,,0,"cheap clean operator, neglected"
ZUMZ,Zumiez Inc.,Apparel Retail,Consumer Cyclical,F,False,468.4,0.5,10.8,9.0,-1.0,10.0,Above,ind,91.0,80.1,↑ 77B/41S net +$21M,76.1,13.1,325.0,,1,"action-sports retailer, recovery"
CVGW,"Calavo Growers, Inc.",Food Distribution,Consumer Defensive,F,False,442.8,0.72,16.8,3.7,-1.2,5.0,Above,sec(4),74.0,89.6,↑ 105B/55S net +$102M,84.8,15.2,395.5,,1,"avocado distributor, turnaround under ex-CEO"
NATR,"Nature's Sunshine Products, Inc",Packaged Foods,Consumer Defensive,F,False,318.9,0.65,7.7,7.8,3.7,4.0,Above,ind,69.0,88.1,↓ 85B/34S net -$7M,71.6,12.6,271.5,,2,"herbal-supplement direct-seller, net cash"
RNGR,"Ranger Energy Services, Inc.",Oil & Gas Equipment & Services,Energy,E,False,416.5,0.73,6.1,2.8,-3.4,6.2,Above,ind,75.0,79.6,↑ 78B/39S net +$48M,78.6,18.7,285.3,,3,"well-service rig operator, FCF"
VMD,"Viemed Healthcare, Inc.",Medical Devices,Healthcare,F,False,388.4,1.35,7.1,6.3,-47.2,53.4,Above,ind,93.0,70.4,→ 72B/49S net +$0.3M,78.9,30.2,300.5,,1,"home-ventilation, organic growth"
EBF,"Ennis, Inc.",Business Equipment & Supplies,Industrials,C,False,494.2,1.26,7.2,11.2,-3.8,15.0,Above,sec(2),87.0,86.9,↑ 91B/62S net +$19M,90.8,23.0,470.1,,1,"print/forms cash cow, serial small M&A"
RLGT,"Radiant Logistics, Inc.",Integrated Freight & Logistics,Industrials,A,False,425.5,0.48,14.0,1.3,-3.8,5.1,Above,sec(4),68.0,55.9,↓ 51B/44S net -$6.7M,72.3,33.9,285.5,,2,"freight-forwarding roll-up, asset-light"
